ID,カテゴリ,雑種・品種,科番号APG,APG番号::科和名APG,APG番号::科学名APG,和名,採用学名,自生,固有
1981,1,,3,ジュンサイ科,Cabombaceae,ジュンサイ,Brasenia schreberi J.F.Gmel.,自生,
1983,1,,4,スイレン科,Nymphaeaceae,オニバス,Euryale ferox Salisb.,自生,
1986,1,,4,スイレン科,Nymphaeaceae,コウホネ,Nuphar japonica DC.,自生,
1987,3,f,4,スイレン科,Nymphaeaceae,ベニコウホネ,Nuphar japonica DC.  f. rubrotincta (Casp.) Kitam.,自生,
1988,1,,4,スイレン科,Nymphaeaceae,ベニオグラコウホネ,Nuphar oguraensis Miki var. akiensis M. Shimoda,自生,
1989,1,,4,スイレン科,Nymphaeaceae,オグラコウホネ,Nuphar oguraensis Miki var. oguraensis,自生,
1990,1,,4,スイレン科,Nymphaeaceae,オゼコウホネ,Nuphar pumila (Timm) DC. var. ozeensis H.Hara,自生,固有
1991,3,f,4,スイレン科,Nymphaeaceae,ウリュウコウホネ,"Nuphar pumila (Timm) DC. var. ozeensis H.Hara f. rubro-ovaria Koji Ito ex Hideki Takah., M.Yamazaki et J.Sasaki",自生,
1992,1,,4,スイレン科,Nymphaeaceae,ネムロコウホネ,Nuphar pumila (Timm) DC. var. pumila,自生,
1993,4,h,4,スイレン科,Nymphaeaceae,サイコクヒメコウホネ,Nuphar saikokuensis Shiga et Kadono,自生,
1994,1,,4,スイレン科,Nymphaeaceae,ヒメコウホネ,Nuphar subintegerrima (Casp.) Makino,自生,
1995,1,,4,スイレン科,Nymphaeaceae,シモツケコウホネ,Nuphar submersa Shiga et Kadono,自生,固有
1996,4,h,4,スイレン科,Nymphaeaceae,ナガレコウホネ,Nuphar x fluminalis Shiga et Kadono,自生,
1997,4,h,4,スイレン科,Nymphaeaceae,ホッカイコウホネ,Nuphar x hokkaiensis Shiga et Kadono,自生,
1998,1,,4,スイレン科,Nymphaeaceae,サイジョウコウホネ,Nuphar x saijoensis (M. Shimoda) Padgett et M. Shimoda,自生,
2010,1,,4,スイレン科,Nymphaeaceae,ヒツジグサ,Nymphaea tetragona Georgi,自生,
13913,1,,4,スイレン科,Nymphaeaceae,エゾベニヒツジグサ,Nymphaea tetragona Georgi var. erythrostigmatica Koji Ito,自生,
1301,3,f,7,マツブサ科,Schisandraceae,ウスベニシキミ,Illicium anisatum L. f. roseum (Makino) Okuyama,自生,
1302,1,,7,マツブサ科,Schisandraceae,シキミ,Illicium anisatum L. var. anisatum,自生,
1303,1,,7,マツブサ科,Schisandraceae,オキナワシキミ,Illicium anisatum L. var. masa-ogatae (Makino) Honda,自生,固有
1306,1,,7,マツブサ科,Schisandraceae,ヤエヤマシキミ,Illicium tashiroi Maxim.,自生,
1295,1,,7,マツブサ科,Schisandraceae,サネカズラ,Kadsura japonica (L.) Dunal,自生,
13945,1,,7,マツブサ科,Schisandraceae,リュウキュウサネカズラ,Kadsura matsudae Hayata,自生,
1298,1,,7,マツブサ科,Schisandraceae,チョウセンゴミシ,Schisandra chinensis (Turcz.) Baill.,自生,
1299,1,,7,マツブサ科,Schisandraceae,マツブサ,Schisandra repanda (Siebold et Zucc.) Radlk.,自生,
1300,3,f,7,マツブサ科,Schisandraceae,ウラジロマツブサ,Schisandra repanda (Siebold et Zucc.) Radlk. f. discolor (Nakai) Yonek.,自生,
2039,1,,8,センリョウ科,Chloranthaceae,キビヒトリシズカ,Chloranthus fortunei (A. Gray) Solms,自生,
2040,1,,8,センリョウ科,Chloranthaceae,ヒトリシズカ,Chloranthus quadrifolius (A.Gray) H.Ohba et S.Akiyama,自生,
2041,1,,8,センリョウ科,Chloranthaceae,フタリシズカ,Chloranthus serratus (Thunb.) Roem. et Schult.,自生,
2043,1,,8,センリョウ科,Chloranthaceae,センリョウ,Sarcandra glabra (Thunb.) Nakai,自生,
2044,3,f,8,センリョウ科,Chloranthaceae,キミノセンリョウ,Sarcandra glabra (Thunb.) Nakai f. flava (Makino) Okuyama,自生,
2018,1,,11,ドクダミ科,Saururaceae,ドクダミ,Houttuynia cordata Thunb.,自生,
2021,3,f,11,ドクダミ科,Saururaceae,ミドリドクダミ,Houttuynia cordata Thunb. f. viridis J.Ohara,自生,
2022,1,,11,ドクダミ科,Saururaceae,ハンゲショウ,Saururus chinensis (Lour.) Baill.,自生,
2023,1,,12,コショウ科,Piperaceae,シマゴショウ,Peperomia boninsimensis Makino,自生,固有
2027,1,,12,コショウ科,Piperaceae,サダソウ,Peperomia japonica Makino,自生,
2029,1,,12,コショウ科,Piperaceae,オキナワスナゴショウ,Peperomia japonica Makino var. okinawensis (T.Yamaz.) Y.H.Kobay. et M.N.Tamura,自生,固有
2034,1,,12,コショウ科,Piperaceae,フウトウカズラ,Piper kadsura (Choisy) Ohwi,自生,
2037,1,,12,コショウ科,Piperaceae,タイヨウフウトウカズラ,Piper postelsianum Maxim.,自生,固有
2045,1,,15,ウマノスズクサ科,Aristolochiaceae,マルバウマノスズクサ,Aristolochia contorta Bunge,自生,
2046,1,,15,ウマノスズクサ科,Aristolochiaceae,ウマノスズクサ,Aristolochia debilis Siebold et Zucc.,自生,
2048,1,,15,ウマノスズクサ科,Aristolochiaceae,オオバウマノスズクサ,Aristolochia kaempferi Willd.,自生,固有
13999,1,,15,ウマノスズクサ科,Aristolochiaceae,イセノウマノスズクサ,Aristolochia kaempferi Willd. var. laevipes Watan.-Toma & Ohi-Toma,自生,固有
2049,1,,15,ウマノスズクサ科,Aristolochiaceae,リュウキュウウマノスズクサ,Aristolochia liukiuensis Hatus.,自生,
2051,1,,15,ウマノスズクサ科,Aristolochiaceae,アリマウマノスズクサ,Aristolochia shimadae Hayata,自生,
